result,white_elo,black_elo,opening,num_moves,moves
0-1,931,984,Slav Defense: Three Knights Variation,17,1. d4 { [%clk 0:05:00] } 1... d5 { [%clk 0:05:00] } 2. c4 { [%clk 0:05:02] } 2... c6 { [%clk 0:04:59] } 3. Nc3 { [%clk 0:05:03] } 3... Nf6 { [%clk 0:04:55] } 4. Nf3 { [%clk 0:05:03] } 4... Bf5 { [%clk 0:04:55] } 5. Bg5 { [%clk 0:05:03] } 5... h6 { [%clk 0:04:49] } 6. Bxf6 { [%clk 0:05:03] } 6... exf6 { [%clk 0:04:46] } 7. e3 { [%clk 0:05:05] } 7... Be7 { [%clk 0:04:30] } 8. cxd5 { [%clk 0:05:07] } 8... cxd5 { [%clk 0:04:32] } 9. Bd3 { [%clk 0:05:05] } 9... Bxd3 { [%clk 0:04:31] } 10. Qxd3 { [%clk 0:05:05] } 10... Nc6 { [%clk 0:04:31] } 11. a3 { [%clk 0:05:06] } 11... Qa5 { [%clk 0:04:25] } 12. O-O { [%clk 0:05:05] } 12... O-O { [%clk 0:04:05] } 13. b4 { [%clk 0:05:05] } 13... Qc7 { [%clk 0:04:06] } 14. Nxd5 { [%clk 0:05:04] } 14... Qd6 { [%clk 0:03:50] } 15. Nxe7+ { [%clk 0:05:05] } 15... Qxe7 { [%clk 0:03:52] } 16. Rfc1 { [%clk 0:05:03] } 16... Rad8 { [%clk 0:03:53] } 17. Qe4 { [%clk 0:05:03] } 17... Qxe4 { [%clk 0:03:54] }
1-0,1656,1554,Bishop's Opening: Philidor Counterattack,27,1. e4 { [%clk 0:05:00] } 1... e5 { [%clk 0:05:00] } 2. Bc4 { [%clk 0:05:03] } 2... c6 { [%clk 0:05:00] } 3. d4 { [%clk 0:05:05] } 3... d5 { [%clk 0:05:01] } 4. exd5 { [%clk 0:05:07] } 4... cxd5 { [%clk 0:05:03] } 5. Bb5+ { [%clk 0:05:09] } 5... Bd7 { [%clk 0:04:59] } 6. Bxd7+ { [%clk 0:05:11] } 6... Nxd7 { [%clk 0:05:01] } 7. dxe5 { [%clk 0:05:08] } 7... Nxe5 { [%clk 0:05:02] } 8. Nc3 { [%clk 0:05:09] } 8... d4 { [%clk 0:05:01] } 9. Ne4 { [%clk 0:05:02] } 9... f5 { [%clk 0:04:46] } 10. Ng3 { [%clk 0:04:49] } 10... Nf6 { [%clk 0:04:34] } 11. Nxf5 { [%clk 0:04:38] } 11... Nc4 { [%clk 0:04:07] } 12. Qxd4 { [%clk 0:04:05] } 12... Qa5+ { [%clk 0:04:02] } 13. c3 { [%clk 0:03:51] } 13... Qxf5 { [%clk 0:03:53] } 14. Qxc4 { [%clk 0:03:45] } 14... Qe5+ { [%clk 0:03:40] } 15. Be3 { [%clk 0:03:39] } 15... Rd8 { [%clk 0:03:31] } 16. Nf3 { [%clk 0:03:38] } 16... Qe4 { [%clk 0:03:30] } 17. Qxe4+ { [%clk 0:03:30] } 17... Nxe4 { [%clk 0:03:31] } 18. O-O { [%clk 0:03:32] } 18... Bd6 { [%clk 0:03:25] } 19. Bd4 { [%clk 0:03:29] } 19... O-O { [%clk 0:03:26] } 20. Rae1 { [%clk 0:03:29] } 20... Nc5 { [%clk 0:03:16] } 21. Rd1 { [%clk 0:02:54] } 21... Na4 { [%clk 0:03:02] } 22. Rd2 { [%clk 0:02:36] } 22... b6 { [%clk 0:02:46] } 23. b3 { [%clk 0:02:14] } 23... Nc5 { [%clk 0:02:34] } 24. Rfd1 { [%clk 0:02:02] } 24... Ne4 { [%clk 0:02:29] } 25. Re2 { [%clk 0:01:56] } 25... Nxc3 { [%clk 0:02:23] } 26. Bxc3 { [%clk 0:01:36] } 26... Bxh2+ { [%clk 0:02:24] } 27. Kxh2 { [%clk 0:01:35] } 27... Rxd1 { [%clk 0:02:23] } 28. Re7 { [%clk 0:01:15] }
1-0,919,900,Danish Gambit Accepted,13,1. e4 { [%clk 0:05:00] } 1... e5 { [%clk 0:05:00] } 2. d4 { [%clk 0:05:01] } 2... exd4 { [%clk 0:04:49] } 3. c3 { [%clk 0:05:02] } 3... dxc3 { [%clk 0:04:46] } 4. Bc4 { [%clk 0:05:04] } 4... Nf6 { [%clk 0:04:47] } 5. e5 { [%clk 0:05:01] } 5... Qe7 { [%clk 0:04:34] } 6. Nf3 { [%clk 0:05:00] } 6... g6 { [%clk 0:04:26] } 7. Nxc3 { [%clk 0:04:49] } 7... Bg7 { [%clk 0:04:24] } 8. O-O { [%clk 0:04:47] } 8... Ng4 { [%clk 0:04:08] } 9. Bg5 { [%clk 0:04:25] } 9... f6 { [%clk 0:03:38] } 10. exf6 { [%clk 0:04:24] } 10... Bxf6 { [%clk 0:03:38] } 11. Nd5 { [%clk 0:04:17] } 11... Nxf2 { [%clk 0:02:09] } 12. Nxf6+ { [%clk 0:03:58] } 12... Kd8 { [%clk 0:02:04] } 13. Qd4 { [%clk 0:03:16] } 13... d5 { [%clk 0:01:31] } 14. Nxd5 { [%clk 0:03:12] }
0-1,1189,1187,Sicilian Defense: Grand Prix Attack,23,1. e4 { [%eval 0.18] [%clk 0:05:00] } 1... c5 { [%eval 0.25] [%clk 0:05:00] } 2. Nc3 { [%eval 0.26] [%clk 0:05:01] } 2... Nc6 { [%eval 0.16] [%clk 0:05:00] } 3. f4 { [%eval -0.09] [%clk 0:04:58] } 3... d6 { [%eval 0.0] [%clk 0:05:01] } 4. Nf3 { [%eval 0.0] [%clk 0:04:58] } 4... e6 { [%eval 0.44] [%clk 0:05:01] } 5. Bb5 { [%eval 0.14] [%clk 0:04:56] } 5... Bd7 { [%eval 0.16] [%clk 0:05:02] } 6. O-O { [%eval 0.06] [%clk 0:04:53] } 6... Nge7 { [%eval 0.49] [%clk 0:05:04] } 7. d4 { [%eval 0.27] [%clk 0:04:26] } 7... cxd4 { [%eval 0.3] [%clk 0:04:59] } 8. Bxc6 $6 { [%eval -0.28] [%clk 0:04:21] } 8... Bxc6 $2 { [%eval 1.26] [%clk 0:04:55] } 9. Nxd4 { [%eval 1.05] [%clk 0:04:21] } 9... Qc7 $6 { [%eval 1.76] [%clk 0:04:51] } 10. Nxc6 $6 { [%eval 0.83] [%clk 0:03:57] } 10... Nxc6 { [%eval 0.79] [%clk 0:04:52] } 11. Be3 { [%eval 0.43] [%clk 0:03:40] } 11... O-O-O $6 { [%eval 1.42] [%clk 0:04:53] } 12. Nb5 { [%eval 1.5] [%clk 0:03:31] } 12... Qa5 { [%eval 1.2] [%clk 0:04:44] } 13. c4 { [%eval 1.33] [%clk 0:02:38] } 13... a6 $6 { [%eval 2.06] [%clk 0:04:42] } 14. Na7+ $2 { [%eval -0.04] [%clk 0:02:31] } 14... Nxa7 { [%eval 0.15] [%clk 0:04:43] } 15. Bxa7 { [%eval 0.12] [%clk 0:02:34] } 15... b6 $4 { [%eval 4.26] [%clk 0:04:39] } 16. Qd4 $2 { [%eval 2.52] [%clk 0:02:27] } 16... Kb7 $2 { [%eval 4.77] [%clk 0:04:38] } 17. c5 $4 { [%eval -4.69] [%clk 0:02:07] } 17... Qxc5 { [%eval -4.69] [%clk 0:04:30] } 18. Qxc5 { [%eval -5.01] [%clk 0:02:01] } 18... dxc5 { [%eval -4.98] [%clk 0:04:31] } 19. Bxb6 { [%eval -5.29] [%clk 0:01:56] } 19... Kxb6 { [%eval -5.22] [%clk 0:04:31] } 20. Rac1 { [%eval -5.22] [%clk 0:01:58] } 20... Be7 { [%eval -5.19] [%clk 0:04:32] } 21. e5 { [%eval -5.1] [%clk 0:01:58] } 21... Rd5 { [%eval -5.11] [%clk 0:04:26] } 22. Kf2 { [%eval -5.26] [%clk 0:01:59] } 22... Rd2+ { [%eval -5.36] [%clk 0:04:23] } 23. Kg3 { [%eval -5.42] [%clk 0:02:00] } 23... Rxb2 { [%eval -5.32] [%clk 0:04:24] }
0-1,1429,1430,Scandinavian Defense: Mieses-Kotroc Variation,27,1. e4 { [%clk 0:05:00] } 1... d5 { [%clk 0:05:00] } 2. exd5 { [%clk 0:05:01] } 2... Qxd5 { [%clk 0:05:03] } 3. d4 { [%clk 0:05:01] } 3... Qe6+ { [%clk 0:05:06] } 4. Be2 { [%clk 0:04:59] } 4... Qg6 { [%clk 0:05:07] } 5. Bd3 { [%clk 0:04:25] } 5... Qxg2 { [%clk 0:05:04] } 6. Qf3 { [%clk 0:04:23] } 6... Qxf3 { [%clk 0:05:04] } 7. Nxf3 { [%clk 0:04:25] } 7... Nc6 { [%clk 0:05:02] } 8. Nc3 { [%clk 0:04:26] } 8... Bg4 { [%clk 0:05:03] } 9. Be4 { [%clk 0:04:17] } 9... Bxf3 { [%clk 0:04:52] } 10. Bxf3 { [%clk 0:04:18] } 10... O-O-O { [%clk 0:04:53] } 11. Be3 { [%clk 0:04:13] } 11... Nxd4 { [%clk 0:04:51] } 12. Bg4+ { [%clk 0:04:05] } 12... e6 { [%clk 0:04:52] } 13. O-O-O { [%clk 0:04:05] } 13... Nc6 { [%clk 0:04:37] } 14. Ne4 { [%clk 0:04:00] } 14... f5 { [%clk 0:04:33] } 15. Ng5 { [%clk 0:04:02] } 15... Nh6 { [%clk 0:04:32] } 16. Rxd8+ { [%clk 0:04:00] } 16... Kxd8 { [%clk 0:04:33] } 17. Bf3 { [%clk 0:03:59] } 17... Kc8 { [%clk 0:04:22] } 18. Nxe6 { [%clk 0:03:58] } 18... Ne5 { [%clk 0:04:16] } 19. Be2 { [%clk 0:03:50] } 19... Nhg4 { [%clk 0:04:15] } 20. Bxg4 { [%clk 0:03:41] } 20... Nxg4 { [%clk 0:04:16] } 21. Bf4 { [%clk 0:03:36] } 21... Bd6 { [%clk 0:04:16] } 22. Bxd6 { [%clk 0:03:30] } 22... cxd6 { [%clk 0:04:17] } 23. Nxg7 { [%clk 0:03:32] } 23... Nxf2 { [%clk 0:04:19] } 24. Rf1 { [%clk 0:03:28] } 24... Rg8 { [%clk 0:04:10] } 25. Nxf5 { [%clk 0:03:29] } 25... Rg2 { [%clk 0:03:53] } 26. h4 { [%clk 0:03:15] } 26... Ne4 { [%clk 0:03:48] } 27. Rf4 { [%clk 0:03:06] } 27... Rg1+ { [%clk 0:03:42] }
1-0,893,887,English Opening: Caro-Kann Defensive System,24,1. c4 { [%eval 0.12] [%clk 0:05:00] } 1... c6 { [%eval 0.23] [%clk 0:05:00] } 2. Nc3 { [%eval 0.21] [%clk 0:05:01] } 2... Nf6 { [%eval 0.29] [%clk 0:04:57] } 3. g3 { [%eval 0.0] [%clk 0:05:03] } 3... d5 { [%eval 0.12] [%clk 0:04:58] } 4. d3 $6 { [%eval -0.57] [%clk 0:04:39] } 4... d4 { [%eval -0.56] [%clk 0:04:59] } 5. Ne4 { [%eval -0.84] [%clk 0:04:39] } 5... Nxe4 { [%eval -1.01] [%clk 0:05:00] } 6. dxe4 { [%eval -0.83] [%clk 0:04:41] } 6... g6 { [%eval -0.6] [%clk 0:04:58] } 7. Bg2 { [%eval -0.63] [%clk 0:04:43] } 7... Bg7 { [%eval -0.56] [%clk 0:04:59] } 8. e3 { [%eval -0.84] [%clk 0:04:45] } 8... dxe3 { [%eval -0.5] [%clk 0:05:00] } 9. Bxe3 { [%eval -0.93] [%clk 0:04:44] } 9... Bxb2 { [%eval -0.81] [%clk 0:05:00] } 10. Rb1 $6 { [%eval -1.51] [%clk 0:04:41] } 10... Bc3+ { [%eval -1.39] [%clk 0:05:02] } 11. Bd2 { [%eval -1.93] [%clk 0:04:37] } 11... Bxd2+ { [%eval -1.95] [%clk 0:05:02] } 12. Qxd2 { [%eval -1.98] [%clk 0:04:39] } 12... Qxd2+ { [%eval -1.95] [%clk 0:05:04] } 13. Kxd2 { [%eval -2.02] [%clk 0:04:41] } 13... O-O $6 { [%eval -1.21] [%clk 0:05:05] } 14. Nf3 { [%eval -1.26] [%clk 0:04:44] } 14... Be6 $2 { [%eval 0.0] [%clk 0:05:01] } 15. Ng5 $2 { [%eval -1.29] [%clk 0:04:43] } 15... Bxc4 { [%eval -0.81] [%clk 0:05:03] } 16. Rxb7 { [%eval -1.04] [%clk 0:04:42] } 16... Nd7 $4 { [%eval 3.59] [%clk 0:04:59] } 17. Rxd7 { [%eval 3.38] [%clk 0:04:41] } 17... Bxa2 { [%eval 3.78] [%clk 0:05:00] } 18. Rxe7 { [%eval 3.02] [%clk 0:04:40] } 18... Rad8+ $2 { [%eval 4.35] [%clk 0:04:59] } 19. Ke3 $6 { [%eval 3.39] [%clk 0:04:40] } 19... f6 $2 { [%eval 5.32] [%clk 0:04:54] } 20. Nxh7 { [%eval 5.17] [%clk 0:04:35] } 20... Rfe8 $2 { [%eval 7.85] [%clk 0:04:50] } 21. Rxe8+ { [%eval 7.87] [%clk 0:04:34] } 21... Rxe8 { [%eval 7.79] [%clk 0:04:53] } 22. Nxf6+ { [%eval 7.74] [%clk 0:04:36] } 22... Kf7 { [%eval 7.54] [%clk 0:04:52] } 23. Nxe8 { [%eval 7.86] [%clk 0:04:38] } 23... Kxe8 { [%eval 7.72] [%clk 0:04:55] } 24. Ra1 { [%eval 7.65] [%clk 0:04:38] } 24... Bc4 { [%eval 7.65] [%clk 0:04:52] } 25. Rxa7 { [%eval 7.65] [%clk 0:04:38] }
1-0,1035,1066,Scandinavian Defense,21,1. e4 { [%clk 0:05:00] } 1... d5 { [%clk 0:05:00] } 2. e5 { [%clk 0:05:01] } 2... d4 { [%clk 0:04:57] } 3. Nf3 { [%clk 0:05:00] } 3... e6 { [%clk 0:04:58] } 4. d3 { [%clk 0:04:56] } 4... a6 { [%clk 0:04:57] } 5. Nbd2 { [%clk 0:04:31] } 5... c5 { [%clk 0:04:58] } 6. Ne4 { [%clk 0:04:27] } 6... h6 { [%clk 0:04:58] } 7. Bd2 { [%clk 0:04:19] } 7... Nc6 { [%clk 0:04:56] } 8. a3 { [%clk 0:04:12] } 8... Bd7 { [%clk 0:04:50] } 9. h3 { [%clk 0:04:02] } 9... f6 { [%clk 0:04:49] } 10. exf6 { [%clk 0:03:59] } 10... Nxf6 { [%clk 0:04:50] } 11. Be2 { [%clk 0:03:45] } 11... Nxe4 { [%clk 0:04:48] } 12. dxe4 { [%clk 0:03:48] } 12... e5 { [%clk 0:04:45] } 13. O-O { [%clk 0:03:31] } 13... Be7 { [%clk 0:04:46] } 14. c3 { [%clk 0:03:20] } 14... O-O { [%clk 0:04:44] } 15. cxd4 { [%clk 0:03:13] } 15... exd4 { [%clk 0:04:44] } 16. Bc4+ { [%clk 0:02:59] } 16... Kh8 { [%clk 0:04:38] } 17. Bb3 { [%clk 0:02:48] } 17... Rf4 { [%clk 0:04:18] } 18. Bxf4 { [%clk 0:02:33] } 18... b5 { [%clk 0:04:01] } 19. Nd2 { [%clk 0:02:19] } 19... Bf6 { [%clk 0:03:59] } 20. Re1 { [%clk 0:01:53] } 20... Bg5 { [%clk 0:03:57] } 21. Bxg5 { [%clk 0:01:33] } 21... hxg5 { [%clk 0:03:57] } 22. Qh5# { [%clk 0:01:27] }
0-1,1422,1347,Modern Defense,28,1. e4 { [%clk 0:05:00] } 1... g6 { [%clk 0:05:00] } 2. Nf3 { [%clk 0:05:01] } 2... Bg7 { [%clk 0:05:01] } 3. Nc3 { [%clk 0:05:02] } 3... d6 { [%clk 0:05:03] } 4. Bc4 { [%clk 0:05:01] } 4... Nf6 { [%clk 0:05:05] } 5. d4 { [%clk 0:05:00] } 5... O-O { [%clk 0:05:07] } 6. O-O { [%clk 0:05:00] } 6... a6 { [%clk 0:05:09] } 7. e5 { [%clk 0:04:51] } 7... dxe5 { [%clk 0:05:10] } 8. dxe5 { [%clk 0:04:52] } 8... Qxd1 { [%clk 0:05:12] } 9. Rxd1 { [%clk 0:04:52] } 9... Ng4 { [%clk 0:05:13] } 10. h3 { [%clk 0:04:49] } 10... Nxe5 { [%clk 0:05:15] } 11. Nxe5 { [%clk 0:04:42] } 11... Bxe5 { [%clk 0:05:16] } 12. Nd5 { [%clk 0:04:35] } 12... Bd6 { [%clk 0:05:11] } 13. Bh6 { [%clk 0:04:19] } 13... Re8 { [%clk 0:05:06] } 14. Rd3 { [%clk 0:03:56] } 14... b5 { [%clk 0:05:08] } 15. Bb3 { [%clk 0:03:54] } 15... Bb7 { [%clk 0:05:08] } 16. Nc3 { [%clk 0:03:33] } 16... b4 { [%clk 0:05:06] } 17. Ne2 { [%clk 0:03:20] } 17... Nd7 { [%clk 0:04:59] } 18. Nf4 { [%clk 0:02:41] } 18... Nc5 { [%clk 0:04:54] } 19. Rf3 { [%clk 0:02:26] } 19... Bxf3 { [%clk 0:04:54] } 20. gxf3 { [%clk 0:02:12] } 20... Nxb3 { [%clk 0:04:52] } 21. axb3 { [%clk 0:02:12] } 21... Bxf4 { [%clk 0:04:54] } 22. Bxf4 { [%clk 0:02:15] } 22... c5 { [%clk 0:04:53] } 23. Ra5 { [%clk 0:02:11] } 23... Rec8 { [%clk 0:04:48] } 24. Be3 { [%clk 0:02:12] } 24... c4 { [%clk 0:04:38] } 25. bxc4 { [%clk 0:02:06] } 25... Rxc4 { [%clk 0:04:39] } 26. Rc5 { [%clk 0:02:00] } 26... Rxc5 { [%clk 0:04:37] } 27. Bxc5 { [%clk 0:02:03] } 27... a5 { [%clk 0:04:36] } 28. Bxe7 { [%clk 0:02:03] } 28... Rc8 { [%clk 0:04:31] }
1-0,1467,1582,St. George Defense,33,1. e4 { [%clk 0:05:00] } 1... a6 { [%clk 0:05:00] } 2. d4 { [%clk 0:05:01] } 2... h6 { [%clk 0:05:02] } 3. c4 { [%clk 0:05:02] } 3... e6 { [%clk 0:05:04] } 4. Nc3 { [%clk 0:05:04] } 4... d6 { [%clk 0:05:06] } 5. Nf3 { [%clk 0:05:05] } 5... Ne7 { [%clk 0:05:01] } 6. g3 { [%clk 0:05:06] } 6... Nd7 { [%clk 0:05:03] } 7. Bg2 { [%clk 0:05:08] } 7... Nf6 { [%clk 0:04:54] } 8. O-O { [%clk 0:05:07] } 8... g5 { [%clk 0:04:55] } 9. e5 { [%clk 0:04:55] } 9... dxe5 { [%clk 0:04:54] } 10. Nxe5 { [%clk 0:04:49] } 10... Bg7 { [%clk 0:04:49] } 11. Re1 { [%clk 0:04:46] } 11... h5 { [%clk 0:04:31] } 12. Ne4 { [%clk 0:04:26] } 12... g4 { [%clk 0:04:19] } 13. Ng5 { [%clk 0:04:13] } 13... Rf8 { [%clk 0:03:48] } 14. f3 { [%clk 0:03:47] } 14... Nf5 { [%clk 0:03:44] } 15. fxg4 { [%clk 0:03:15] } 15... Nxg4 { [%clk 0:03:39] } 16. d5 { [%clk 0:02:54] } 16... Nxe5 { [%clk 0:03:33] } 17. dxe6 { [%clk 0:02:44] } 17... Qxd1 { [%clk 0:03:32] } 18. exf7+ { [%clk 0:02:44] } 18... Ke7 { [%clk 0:03:22] } 19. Rxd1 { [%clk 0:02:43] } 19... Nxc4 { [%clk 0:03:03] } 20. Bd5 { [%clk 0:02:17] } 20... Nce3 { [%clk 0:02:52] } 21. Re1 { [%clk 0:02:12] } 21... Bd4 { [%clk 0:02:30] } 22. h3 { [%clk 0:01:41] } 22... c6 { [%clk 0:02:32] } 23. Bb3 { [%clk 0:01:37] } 23... Kd6 { [%clk 0:02:16] } 24. Nh7 { [%clk 0:01:37] } 24... Nc2+ { [%clk 0:01:48] } 25. Kf1 { [%clk 0:01:31] } 25... Nxa1 { [%clk 0:01:24] } 26. Nxf8 { [%clk 0:01:31] } 26... Nxg3+ { [%clk 0:01:19] } 27. Kg2 { [%clk 0:01:31] } 27... h4 { [%clk 0:01:02] } 28. Ng6 { [%clk 0:00:54] } 28... Bd7 { [%clk 0:00:58] } 29. Bf4+ { [%clk 0:00:46] } 29... Kc5 { [%clk 0:00:55] } 30. f8=Q+ { [%clk 0:00:44] } 30... Rxf8 { [%clk 0:00:56] } 31. Nxf8 { [%clk 0:00:46] } 31... Bf5 { [%clk 0:00:48] } 32. Rxa1 { [%clk 0:00:44] } 32... Ne2 { [%clk 0:00:38] } 33. Rf1 { [%clk 0:00:38] } 33... Be4+ { [%clk 0:00:37] } 34. Kh2 { [%clk 0:00:38] }
0-1,1853,1989,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",14,1. e4 { [%clk 0:05:00] } 1... Nc6 { [%clk 0:05:00] } 2. d4 { [%clk 0:05:01] } 2... e5 { [%clk 0:04:38] } 3. d5 { [%clk 0:05:02] } 3... Nce7 { [%clk 0:04:38] } 4. c4 { [%clk 0:05:03] } 4... Nf6 { [%clk 0:04:38] } 5. Nc3 { [%clk 0:05:06] } 5... Ng6 { [%clk 0:04:39] } 6. Bd3 { [%clk 0:05:07] } 6... Bc5 { [%clk 0:04:18] } 7. Nge2 { [%clk 0:05:05] } 7... Ng4 { [%clk 0:04:18] } 8. O-O { [%clk 0:05:05] } 8... Qh4 { [%clk 0:04:18] } 9. h3 { [%clk 0:04:58] } 9... Nxf2 { [%clk 0:04:16] } 10. Rxf2 { [%clk 0:04:47] } 10... Bxf2+ { [%clk 0:04:12] } 11. Kh1 { [%clk 0:04:48] } 11... d6 { [%clk 0:04:13] } 12. Nb5 { [%clk 0:04:48] } 12... Bxh3 { [%clk 0:04:10] } 13. Nxc7+ { [%clk 0:04:41] } 13... Kd8 { [%clk 0:04:05] } 14. Nxa8 { [%clk 0:04:43] } 14... Bg4# { [%clk 0:03:55] }
0-1,1235,1264,Queen's Pawn Game: Accelerated London System,49,1. d4 { [%clk 0:05:00] } 1... d5 { [%clk 0:05:00] } 2. Bf4 { [%clk 0:05:02] } 2... Bf5 { [%clk 0:05:00] } 3. e3 { [%clk 0:05:01] } 3... Nc6 { [%clk 0:05:00] } 4. c4 { [%clk 0:05:02] } 4... dxc4 { [%clk 0:05:01] } 5. Bxc4 { [%clk 0:05:05] } 5... a6 { [%clk 0:05:03] } 6. Nc3 { [%clk 0:05:03] } 6... f6 { [%clk 0:05:04] } 7. Nf3 { [%clk 0:04:54] } 7... e6 { [%clk 0:04:58] } 8. h3 { [%clk 0:04:52] } 8... g5 { [%clk 0:04:51] } 9. Bg3 { [%clk 0:04:42] } 9... Nge7 { [%clk 0:04:51] } 10. e4 { [%clk 0:04:28] } 10... Bg6 { [%clk 0:04:44] } 11. d5 { [%clk 0:04:05] } 11... exd5 { [%clk 0:04:45] } 12. Bxd5 { [%clk 0:04:02] } 12... Bg7 { [%clk 0:04:42] } 13. Nd2 { [%clk 0:03:35] } 13... f5 { [%clk 0:04:27] } 14. Bxc6+ { [%clk 0:03:20] } 14... Nxc6 { [%clk 0:04:29] } 15. f3 { [%clk 0:03:01] } 15... fxe4 { [%clk 0:04:27] } 16. Ndxe4 { [%clk 0:02:58] } 16... Qxd1+ { [%clk 0:04:28] } 17. Rxd1 { [%clk 0:02:59] } 17... Nb4 { [%clk 0:04:20] } 18. Bxc7 { [%clk 0:02:45] } 18... Nc2+ { [%clk 0:04:19] } 19. Kf2 { [%clk 0:02:39] } 19... Bd4+ { [%clk 0:04:11] } 20. Kg3 { [%clk 0:02:31] } 20... O-O { [%clk 0:03:49] } 21. Rd2 { [%clk 0:02:17] } 21... Bxe4 { [%clk 0:03:47] } 22. Nxe4 { [%clk 0:02:15] } 22... Bxb2 { [%clk 0:03:29] } 23. Rxc2 { [%clk 0:02:12] } 23... Rac8 { [%clk 0:03:31] } 24. Nxg5 { [%clk 0:01:56] } 24... Be5+ { [%clk 0:03:29] } 25. Bxe5 { [%clk 0:01:57] } 25... Rxc2 { [%clk 0:03:30] } 26. Ne6 { [%clk 0:01:51] } 26... Re8 { [%clk 0:03:28] } 27. Nd4 { [%clk 0:01:37] } 27... Rxa2 { [%clk 0:03:29] } 28. Rb1 { [%clk 0:01:28] } 28... Rxe5 { [%clk 0:03:30] } 29. Rxb7 { [%clk 0:01:26] } 29... a5 { [%clk 0:03:31] } 30. Nc6 { [%clk 0:01:11] } 30... Ree2 { [%clk 0:03:31] } 31. Ne7+ { [%clk 0:01:09] } 31... Kf8 { [%clk 0:03:20] } 32. Nf5 { [%clk 0:01:05] } 32... Rxg2+ { [%clk 0:03:21] } 33. Kf4 { [%clk 0:01:05] } 33... a4 { [%clk 0:03:20] } 34. Ne3 { [%clk 0:01:00] } 34... Rh2 { [%clk 0:03:20] } 35. Rxh7 { [%clk 0:00:55] } 35... a3 { [%clk 0:03:21] } 36. Nc4 { [%clk 0:00:50] } 36... Ra1 { [%clk 0:03:16] } 37. Ra7 { [%clk 0:00:43] } 37... a2 { [%clk 0:03:15] } 38. Ne5 { [%clk 0:00:40] } 38... Rb1 { [%clk 0:03:07] } 39. Nd7+ { [%clk 0:00:36] } 39... Ke8 { [%clk 0:03:06] } 40. Nf6+ { [%clk 0:00:36] } 40... Kd8 { [%clk 0:03:07] } 41. Ra8+ { [%clk 0:00:37] } 41... Ke7 { [%clk 0:03:09] } 42. Nd5+ { [%clk 0:00:37] } 42... Kd6 { [%clk 0:03:09] } 43. Rd8+ { [%clk 0:00:37] } 43... Kc5 { [%clk 0:03:10] } 44. Ke4 { [%clk 0:00:09] } 44... a1=Q { [%clk 0:03:07] } 45. Rc8+ { [%clk 0:00:11] } 45... Kd6 { [%clk 0:03:09] } 46. Rd8+ { [%clk 0:00:12] } 46... Ke6 { [%clk 0:03:11] } 47. Nf4+ { [%clk 0:00:13] } 47... Kf6 { [%clk 0:03:09] } 48. Rd6+ { [%clk 0:00:14] } 48... Ke7 { [%clk 0:03:09] } 49. Re6+ { [%clk 0:00:04] } 49... Kd7 { [%clk 0:03:11] }
